"BASELINE_OP_MOP4","NO_WRITES_OP_MOP4","WRITE_QUEUE_9_OP_MOP4","WRITE_HAND_OP_MOP4"
bwaves,1.000,1.081,1.007,1.008
xz,1.000,1.590,0.911,1.094
parest,1.000,1.012,0.997,1.001
fotonik3d,1.000,1.569,1.039,1.074
cactuBSSN,1.000,1.191,1.001,1.071
omnetpp,1.000,1.649,0.936,1.129
mcf,1.000,1.101,0.998,1.023
xalancbmk,1.000,1.305,1.002,1.139
roms,1.000,1.495,0.901,1.039
lbm,1.000,2.343,0.971,1.101
blender,1.000,0.998,1.000,1.000
gmean,1.000,1.349,0.978,1.061
