,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9639370662959656,0.0247,368.25,20.4875,49448,0,0.092783,nan,12618542,0
mcf,0.3983177144285714,19.0623768877216,1546.25,759.625,38717007,2492277,0.13472,0.051571,127696785,16759965
namd,3.627154546600269,0.22900000000000004,287.25,27.4875,457832,156744,0.0789,0.090925,13801778,1071972
fotonik3d,0.1763099506725254,26.6,1380.0,1230.0,53316492,23329537,0.016448,0.029344,283746668,162318302
cam4,1.2232353214807998,3.7400000000000007,1068.75,410.375,7499509,3021262,0.19783,0.23643,40928972,17662005
deepsjeng,3.4752864490498703,0.278,255.25,68.26249999999999,555717,222929,0.0014881,3.5886e-05,14397182,1621508
imagick,3.8105222015094826,0.12812023735881045,979.375,32.65,256349,10182,0.32718,0.38901,13130767,59982
wrf,3.670298785492566,0.257,417.375,41.125,517977,157343,0.13275,0.23055,13750943,922251
parest,0.3472790462271332,26.449622459122413,799.625,615.75,53037426,997172,0.259,0.21762,144352957,5878033
leela,3.959023901377245,0.0261,338.25,22.3,52203,0,0.11428,nan,12634461,0
lbm,0.14968245580080827,27.699999999999996,1563.75,955.5,55351654,41323392,0.060672,0.1097,334213488,264738827
nab,3.037986684977614,0.605374613003096,218.5,30.475,1211444,27373,0.00038865,0.10985,16471416,177661
blender,3.1037044375533074,1.0712398609501739,338.75,56.1375,2152217,2407,0.079625,0.076364,16184124,15440
cactuBSSN,1.2999198777797716,3.5299999999999994,1146.25,59.737500000000004,7083501,1495647,0.00036032,0.0015775,38593676,11174163
perlbench,3.9305858515003305,0.08814997163925128,287.625,178.25,176308,214,0.05207,0.014019,12731396,1538
x264,3.722123492346359,0.26387363824268095,283.625,228.0,527890,11489,0.0041755,0.068584,13441784,84952
xz,0.7286786495082278,5.159980648214554,926.625,500.875,10368110,6350918,0.0090603,0.00040199,68977688,45336580
gcc,3.2703152791744574,0.46274251194267996,439.375,39.3125,927658,444020,0.08146,0.013377,15345995,3250650
roms,0.7382899157760774,7.853734277840373,776.625,308.25,15822404,3785760,0.18257,0.13198,68138930,24362408
xalancbmk,1.6265486136034952,1.5862352012628256,457.25,39.675,3173617,2898783,0.00059324,0.088514,30786325,19125524
omnetpp,0.48361301858535194,9.176247445156015,932.875,426.25,18371941,8643228,0.067104,0.0023544,103511519,61952034
bwaves,0.1851524776210854,41.9,1330.0,1270.0,83265971,6729937,0.15752,0.35116,270196272,34686470
