,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7376718748083579,19.036846552757897,667.125,333.625,39043100,2760315,0.11877,0.005187,208875070,27454899
namd,3.6508357351223766,0.23149892008639314,244.625,26.3625,463322,161124,0.075808,0.001584,41135679,1702455
fotonik3d,0.3691486538761392,26.6,652.875,583.75,53316505,23353608,0.0097416,0.0051167,406518381,225531108
cam4,1.7157354870462587,3.7612470978441124,609.0,240.0,7531545,3081197,0.15753,0.0044258,87528745,29820671
deepsjeng,3.5161364183399373,0.279,242.875,65.9375,557863,243183,0.0018662,8.2243e-06,42691188,2393764
imagick,3.8278680463821106,0.1289941859591665,587.875,27.5375,258234,18266,0.30237,0.0052534,39260859,210684
wrf,3.7437010762895278,0.26137410415671286,316.75,36.1125,522752,185481,0.12773,0.0049174,40170050,1793681
parest,0.5867695292604644,26.69971910013852,443.625,346.75,53529061,1145608,0.2322,0.011098,256206386,10987079
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2933212149348057,27.699999999999996,777.375,478.75,55351179,41356306,0.052908,0.0058103,511623727,399520400
nab,3.073337196760814,0.6106246160147452,208.0,30.0,1221007,40389,0.00024977,0.0044801,48823011,352071
blender,3.4292126400283545,1.07,241.875,45.1625,2145485,6654,0.068601,0.003096,43833046,59875
cactuBSSN,2.199789475948178,3.5299999999999994,500.5,36.9625,7085806,1514567,2.0439e-05,0.00039867,68431067,15008339
perlbench,3.950723236922614,0.08814997163925128,221.625,139.0,176305,454,0.04798,0.0,37997294,3953
x264,3.7910115026669766,0.2636241101091599,240.5,193.75,527871,13898,0.0024829,0.0027357,39598014,151926
xz,1.3127577094637228,5.1574477322125585,457.5,252.0,10370120,6809658,0.010131,5.3824e-05,114958855,63981731
gcc,3.4481067511439605,0.48187322067161154,306.125,33.725,964873,523397,0.068031,0.0006074,43591305,5041830
roms,1.1000868971187783,8.393717395175418,447.5,193.875,16904158,4991085,0.14521,0.0067219,137105627,48028505
xalancbmk,2.0962370397711836,1.677488789237668,300.75,33.3625,3353003,2884240,0.00061323,0.004157,71610680,26263397
omnetpp,0.879466674869525,9.542498036135111,476.5,231.25,19106477,9567474,0.05882,0.00034147,170775647,91089967
bwaves,0.3456674415864997,41.9,626.25,598.25,83265733,6754268,0.16108,0.0094001,434221825,65900508

cc,0.13838990423155959,85.9,1160.0,1090.0,172069059,49401026,0.074627,0.0003906,1085559686,497678460
bc,1.0209997991458852,8.071248646139564,353.75,278.75,16150040,5081088,0.028564,0.0017377,147042302,48314928
sssp,2.06273608898478,2.4987456096337186,426.25,143.875,4999377,2127055,0.044966,0.0018369,72812316,19001478
tc,0.18536872161767348,41.00000000000001,1190.0,1190.0,82126592,78411073,0.25798,0.006286,809660135,746825018
pr,0.5134224075237508,22.7,493.125,493.125,45481107,11344816,0.17293,0.0075274,292324347,109080460
bfs,0.625299792767452,17.0,439.375,439.375,34113844,11338803,0.20213,0.0061687,240046956,108813883
