,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.962799043260835,0.0247,400.875,20.525,49448,0,0.0,nan,12624028,0
mcf,0.34641969289641705,19.012442698100852,1730.0,847.25,38468616,2477790,0.0,0.0,146289821,17563221
namd,3.6044154691761623,0.22900000000000004,334.375,28.837500000000006,458235,156875,0.0,0.0,13895333,1176587
fotonik3d,0.17240122006953676,26.6,1430.0,1276.25,53318033,23329398,0.0,0.0,290187029,167488279
cam4,1.0411346631322016,3.7400000000000007,1363.75,519.375,7505442,3024883,0.0,0.0,48137441,21648366
deepsjeng,3.4713117151539605,0.278,256.125,68.5,555641,222731,0.0,0.0,14411182,1610695
imagick,3.7489995292489526,0.1284941630706176,1555.0,40.35,257370,11762,0.0,0.0,13342455,91722
wrf,3.633884828093735,0.257,472.75,44.0875,519526,156365,0.0,0.0,13963297,1138985
parest,0.26306913191051845,26.437033711128,1050.0,807.125,53035456,999665,0.0,0.0,190668819,6875945
leela,3.9545743825103945,0.0261,411.625,22.8125,52207,0,0.0,nan,12649725,0
lbm,0.13769748134475177,27.699999999999996,1732.5,1060.0,55357234,41328239,0.0,0.0,363338457,294683743
nab,3.0353495090101985,0.605249690466364,219.0,30.5,1211214,27383,0.0,0.0,16483087,194379
blender,3.0053857663412136,1.07,377.0,60.4375,2149895,2517,0.0,0.0,16703616,18216
cactuBSSN,1.3012625787920287,3.5299999999999994,1145.0,59.6625,7102266,1499057,0.0,0.0,38662992,11128951
perlbench,3.9290382117364424,0.08813747341556785,297.0,183.625,176306,250,0.0,0.0,12751539,1866
x264,3.7272726722283087,0.26437316464699256,285.375,229.625,529040,11444,0.0,0.0,13432019,91387
xz,0.7267677980578086,5.15123816635412,933.75,504.0,10339636,6326257,0.0,0.0,69086640,45124806
gcc,3.2392348110783367,0.46249729024428277,494.875,41.85000000000001,926218,442700,0.0,0.0,15473781,3269052
roms,0.6212683790136615,7.874946079794018,958.125,378.125,15845004,3789901,0.0,0.0,80921873,27459589
xalancbmk,1.578261605275192,1.5887430830039526,474.25,40.425,3173207,2897952,0.0,0.0,31714132,20766597
omnetpp,0.4597691324147106,9.174997275204358,977.625,446.125,18374467,8643305,0.0,0.0,108897485,62241802
bwaves,0.15658621889603525,41.9,1610.0,1540.0,83259158,6727421,0.0,0.0,319441462,46033586
