,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.746515777056797,19.049736493101605,664.5,332.125,38836103,2551051,0.11952,0.004907,205512210,25404524
namd,3.6474452563600046,0.23537188435748818,248.625,26.625,471731,139443,0.077874,0.0023854,41191116,1472391
fotonik3d,0.36885743880516414,26.6,653.375,583.375,53305307,23373895,0.0097106,0.0047501,406948670,225593108
cam4,1.717633882497406,3.7637437769664785,606.625,239.5,7552781,3083451,0.15802,0.004368,87524321,29876014
deepsjeng,3.514061935796305,0.279,242.125,65.825,558285,247181,0.0018139,0.0,42717674,2412792
imagick,3.827757373199019,0.1284941630706176,589.625,27.55,257350,16080,0.30191,0.005161,39251247,163731
wrf,3.7616172893315385,0.25837409376510395,301.125,35.05,516830,154263,0.12761,0.0056644,39973754,1482958
parest,0.5953397043559963,26.38726921691056,441.875,341.5,52868423,992375,0.23398,0.012694,252341312,9532619
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2929974268842361,27.699999999999996,777.625,479.625,55458337,41475469,0.052956,0.0057604,512442852,399583437
nab,3.0772621149768087,0.6079999999999999,207.625,29.95,1215881,31883,0.00025469,0.0040852,48769713,282999
blender,3.420799353949034,1.0712398609501739,243.125,45.35000000000001,2147086,10816,0.069341,0.0039126,43923663,95732
cactuBSSN,2.2370472946036375,3.5299999999999994,474.375,36.025,7071865,1530286,1.9606e-05,0.00044501,67146992,14955963
perlbench,3.9510363195155693,0.08814997163925128,220.75,138.625,176307,626,0.045413,0.0,37989237,6030
x264,3.7820598508707777,0.26349619948135566,241.875,195.125,527647,15912,0.002386,0.0033299,39713523,172428
xz,1.3489927908769137,5.183677786972909,455.0,251.875,10450506,6373978,0.0075702,4.1817e-05,112177779,60109487
gcc,3.4412698634605503,0.5156094824824634,294.5,34.112500000000004,1032008,365242,0.061731,0.0017628,43649742,3669996
roms,1.2004032963234628,7.943712442402859,427.625,176.875,16037305,3894070,0.14639,0.0064071,125906170,37534786
xalancbmk,2.0584372887486455,1.7912439193884642,301.0,34.275,3577996,2877447,0.0011218,0.0079862,72906750,26851732
omnetpp,0.9276449598483877,9.19,460.75,216.375,18413738,8590885,0.060483,0.00031748,161965431,81931286
bwaves,0.34551851178014403,41.9,626.625,598.625,83410486,6775321,0.16326,0.0092363,435036432,66119586

cc,0.13847113795632326,85.87497815321878,1160.0,1088.75,171932123,49457789,0.074685,0.00040733,1084927375,498386624
bc,1.0449746944149747,7.89,340.25,262.75,15794696,4722863,0.027491,0.0015432,143659392,45175413
sssp,2.1247621483493138,2.460000000000001,419.25,140.0,4926869,1767374,0.043977,0.0054142,70627032,16143391
tc,0.18528369215239499,41.00000000000001,1190.0,1190.0,82119270,78406462,0.25814,0.0063797,809987114,750541831
pr,0.5131172604398537,22.7,493.5,493.5,45495045,11388270,0.17307,0.0074067,292588596,109529677
bfs,0.624462270954199,17.0,439.875,439.875,34119707,11392587,0.20209,0.0060924,240404527,109351001
