"BASELINE_CP_ZEN","NO_WRITES_CP_ZEN","WRITE_QUEUE_9_CP_ZEN","WRITE_HAND_CP_ZEN"
bwaves,1.000,1.063,1.010,1.012
xz,1.000,1.703,0.933,1.162
parest,1.000,1.014,0.998,1.002
fotonik3d,1.000,1.490,0.878,1.073
cactuBSSN,1.000,1.210,0.995,1.110
omnetpp,1.000,1.568,0.896,1.115
mcf,1.000,1.086,1.001,1.012
xalancbmk,1.000,1.262,1.000,1.128
roms,1.000,1.445,1.020,1.089
lbm,1.000,2.191,0.835,1.111
blender,1.000,1.000,1.000,1.000
gmean,1.000,1.327,0.959,1.072
