,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7501506379982817,19.01191359039261,661.125,330.0,39168925,2546951,0.11995,0.004769,206591859,25432010
namd,3.6467488817267735,0.23862191808963998,246.125,26.612499999999997,477513,137558,0.079865,0.0030146,41170536,1458345
fotonik3d,0.36890984600399646,26.6,652.5,582.625,53301401,23386847,0.0097491,0.0047411,406987612,226000162
cam4,1.7280987637050491,3.741247082360788,603.5,237.125,7499695,3029859,0.15847,0.0045543,86901075,29484363
deepsjeng,3.51714824433686,0.279,242.125,65.775,558003,240206,0.0017575,0.0,42690693,2352366
imagick,3.82993145540644,0.1283712132226346,584.125,27.45,256435,13977,0.30576,0.0060305,39225609,146446
wrf,3.761764614002072,0.258,302.125,35.1,516218,142945,0.13002,0.006345,39969343,1378706
parest,0.5950092217340577,26.462128056902753,440.25,341.25,53065899,976783,0.23403,0.012458,252757884,9398074
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.2928224168552439,27.699999999999996,777.25,479.375,55453805,41487756,0.052895,0.0056595,512644271,400282308
nab,3.078524596602679,0.6058748192522208,207.5,29.900000000000002,1212271,27462,0.00023386,0.0045514,48752463,240970
blender,3.427391307695162,1.07,243.25,45.262499999999996,2143488,4222,0.069113,0.0050709,43842785,36219
cactuBSSN,2.2388228664106204,3.5299999999999994,473.625,36.0125,7071602,1519437,4.9602e-05,0.00043038,67096361,14894024
perlbench,3.9510608937726617,0.08814997163925128,220.875,138.875,176309,630,0.045568,0.0,37997220,5880
x264,3.7793115086201956,0.26362221073332776,242.25,195.25,527409,15827,0.0025085,0.0035215,39729296,180539
xz,1.3595190872771834,5.218690374415472,454.25,252.875,10496596,6185823,0.0065736,3.6666e-05,111073986,58533268
gcc,3.4009894167966292,0.5642278426294801,289.875,35.15,1129611,337811,0.05797,0.0030091,44162314,3511813
roms,1.207326066948928,7.927485018990492,425.875,176.125,16014043,3821297,0.14632,0.0063433,125238883,36882359
xalancbmk,2.0681974824670752,1.7474892395982786,300.375,33.925000000000004,3497033,2872495,0.00091917,0.0062502,72598300,26484357
omnetpp,0.9284357926037713,9.196247450713798,460.125,216.125,18407357,8541017,0.060298,0.00032303,161724927,81631629
bwaves,0.3455310551390093,41.9,626.75,599.0,83328148,6774346,0.16261,0.0091897,434602095,66183733

cc,0.13855988292262347,85.81248726531801,1160.0,1090.0,171833051,49427186,0.074659,0.00041392,1083782816,498039282
bc,1.0435749191550845,7.900000000000001,343.375,265.625,15807538,4750100,0.027533,0.0016075,143796667,45432252
sssp,2.122323041315815,2.4812456052235055,417.125,140.5,4971011,1753520,0.043662,0.0055887,70774656,16003515
tc,0.18531872283118725,41.00000000000001,1190.0,1190.0,82120107,78406577,0.25777,0.0064288,809844336,748413947
pr,0.5129985935898106,22.7,493.75,493.75,45490653,11387469,0.17299,0.0074328,292625691,109657915
bfs,0.6247085791996899,17.0,439.875,439.875,34127778,11395353,0.20212,0.0061172,240372174,109450144
