,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9692498778181644,0.0247,294.625,20.400000000000002,49448,0,0.16797,nan,37797582,0
mcf,0.7504547310309321,19.024110126517687,711.375,354.75,39061583,2508267,0.15915,0.028069,205603824,29999783
namd,3.633161055983059,0.22900000000000004,266.875,26.912499999999998,457675,156741,0.27172,0.078525,41313129,2053630
fotonik3d,0.3516799293764947,26.6,729.0,651.125,53308860,23324507,0.028565,0.025375,426690146,278812541
cam4,1.6827491398244452,3.741247082360788,634.0,248.125,7496945,3019894,0.26844,0.23483,89233357,34987193
deepsjeng,3.4206741934888627,0.278,287.0,74.8,555802,223080,0.010577,1.1968e-05,43873611,2824494
imagick,3.8346607044788525,0.12812023735881045,618.75,27.875,255869,10557,0.36868,0.26335,39148143,147160
wrf,3.7546092786557477,0.257,322.25,36.075,513746,152642,0.33328,0.23224,40055926,1759897
parest,0.595202911928701,26.51208220982649,463.75,359.625,53168449,998415,0.34217,0.13915,252816617,11738347
leela,3.9576996140836154,0.0261,293.5,21.974999999999998,52206,0,0.21004,nan,37913671,0
lbm,0.2793412105688252,27.699999999999996,851.25,523.375,55367926,41334755,0.11171,0.11882,537416224,476559807
nab,3.0646112781331154,0.605374613003096,212.875,30.187499999999996,1211472,27103,0.33256,0.076493,48981534,283466
blender,3.3557148698449506,1.0712398609501739,287.625,50.325,2146310,2553,0.12993,0.029835,44818241,29078
cactuBSSN,2.158321250157882,3.5299999999999994,539.5,38.3125,7073342,1493130,6.0461e-05,0.00067099,69632711,19900027
perlbench,3.9523220128896384,0.0881,228.25,143.25,176303,225,0.15894,0.0,37994499,2136
x264,3.761611547920876,0.264494355511972,281.875,227.0,529169,11166,0.0045977,0.03015,39909663,162161
xz,1.2360071163774928,5.153726065234641,538.5,294.75,10345596,6332195,0.0102,0.00022484,121888400,78043969
gcc,3.403427977927007,0.46312206294817915,345.5,35.0125,927146,443933,0.12882,0.011116,44132228,5794160
roms,1.2085947082276982,7.849984076377565,445.5,182.0,15833410,3789957,0.33716,0.13096,124946879,45477477
xalancbmk,2.0578870718866806,1.59,316.5,33.362500000000004,3173335,2898656,0.291,0.09656,72936145,34428020
omnetpp,0.8600003967782461,9.171248808388942,535.125,249.25,18370182,8640020,0.081629,0.0022888,174650201,106055576
bwaves,0.34804360671638457,41.9,658.25,628.625,83273425,6729720,0.23181,0.33459,431260154,73253206
