,ipc,llc_mpki,miss_penalty,aat,num_reads,num_writes,read_rbhr,write_rbhr,dram_cycles,write_cycles

povray,3.9707748660680933,0.0247,270.375,20.362500000000004,49448,0,0.090395,nan,37782426,0
mcf,0.7472555818089177,19.049343817555613,661.5,330.875,39401190,2625566,0.11957,0.0047819,207854829,26178104
namd,3.6469367767098135,0.23449680164759396,248.375,26.575,469153,149529,0.077392,0.002019,41160812,1579510
fotonik3d,0.36903865975189204,26.7,653.375,584.625,53404162,23341350,0.0097082,0.0049401,406694773,226160971
cam4,1.7246977586519452,3.7400000000000007,604.125,237.125,7502138,3020670,0.15819,0.0043176,87097053,29321387
deepsjeng,3.519936112378482,0.279,241.125,65.5125,557669,221900,0.0018051,0.0,42648168,2185315
imagick,3.831770608086657,0.12849219474586013,575.625,27.3625,257022,13875,0.30347,0.0057736,39212988,151297
wrf,3.756602227462453,0.2574990291262136,309.125,35.4125,515141,155205,0.13019,0.0057722,40022969,1498068
parest,0.5920594580530448,26.512176637174687,442.5,343.25,53131760,1045449,0.23361,0.011058,253995527,10022324
leela,3.9620499684521797,0.0261,274.625,21.837500000000002,52203,0,0.11804,nan,37864207,0
lbm,0.29301618652011874,27.699999999999996,777.25,478.625,55370632,41324741,0.052773,0.0068574,512357978,403763283
nab,3.078549859505446,0.6067496907216494,207.375,29.9125,1213827,30723,0.00024714,0.0045918,48742296,270175
blender,3.4278448189601023,1.07,242.375,45.2,2146553,2031,0.068913,0.0090801,43875851,17243
cactuBSSN,2.243119922556633,3.5299999999999994,471.5,35.9375,7074887,1504485,4.8899e-05,0.00049042,66999195,14697672
perlbench,3.951536151325902,0.08814997163925128,220.0,138.25,176306,297,0.047565,0.0,37986837,2618
x264,3.781235834980281,0.2646241134751773,242.875,196.25,529606,12843,0.0025302,0.0041244,39712076,136656
xz,1.342495885793652,5.167433311970441,455.625,251.625,10398787,6456484,0.008103,4.2901e-05,112480330,60694844
gcc,3.4636807526059377,0.47261974104069854,306.125,33.45,946092,460165,0.067483,0.00073439,43352111,4477873
roms,1.1690998585217145,8.032466618777462,436.375,182.375,16169032,4177366,0.14767,0.0065153,128970488,40240787
xalancbmk,2.072209926705089,1.741243745532523,301.625,33.9,3485750,2880978,0.00089713,0.0065846,72499256,26658475
omnetpp,0.915242833488911,9.266247469977062,466.5,220.625,18551560,8884912,0.060119,0.00030749,164058207,84648427
bwaves,0.34580471236143995,41.9,626.625,598.625,83360718,6747242,0.16545,0.0096462,434623564,65876845

cc,0.13849615002616014,86.0,1160.0,1090.0,172175218,49352416,0.074443,0.00040161,1084287094,497274560
bc,1.0364248727632932,7.957497642250866,345.75,269.25,15918725,4860568,0.027944,0.0016623,144804894,46336934
sssp,2.116962162498434,2.43,421.875,139.125,4859031,1882870,0.045518,0.0022415,70888882,16954556
tc,0.1849261824141985,41.00000000000001,1200.0,1200.0,82162661,78396936,0.25905,0.0068572,811910820,767346003
pr,0.5134699221541683,22.7,493.0,493.0,45484805,11347871,0.17291,0.0078525,292322171,109190896
bfs,0.625166061716524,17.0,439.25,439.25,34112740,11336057,0.20203,0.0064073,240088989,109075546
